S.NO,DATE,TIME,TII/TCA,WLS REC,UNIT,SECTOR,FMN,LOC,DIST,TYPE OF TII/TCA,ADDL DETLS,TGT,NO. OF TRTS,ARMY,JKP,CRPF,BSF,CAPF,CIV,ARMY2,JKP2,CRPF2,BSF2,CAPF2,CIV2,IS SIT,IS SIT DETLS,REMARKS,INJURED_NAME,KILLED_NAME
62,08-Jul-20,9:00 PM,TCA ,NO ,14 RR ,5 SECT ,CIF (K),NEAR POLICE STN BANDIPURA ,BANDIPURA,FIRING ,"UI TRTS SHOT DEAD EX DIST PRESIDENT OF BJP, HIS FATHER & BROTHER. DETLS ARE AS GIVEN BELOW :-
(a) SHEIKH WASEEM BARI, EX  
DIST PRESIDENT OF BJP, BANDIPURA.
 (B) BASHIR AH BARI (FATHER).
 (C) UMAR SHEIKH BARI (BROTHER).
",CIV ,UI,0,0,0,0,0,3,0,0,0,0,0,0,NIL ,NIL,,,
63,09-Jul-20,6:00 PM,TII ,NO ,50 RR ,1 SECT ,CIF (V),LADU MORH ,PULWAMA,FIRING ,"(A) UI TRTS FIRED UPON QRT OF 106 INF BN (TA) PARA MOVING ALONG WITH ONE AMB FROM 15 CBS TO 92 BH NEAR LADU MORH, LETAPORE.
(B) OWN TPS RETALIATED AND NO 10490521X PTR MOOL CHAND SAINI OF 106 INF BN (TA) PARA, AGE -          22 YRS, SERVICE - 03 YRS SUSTAINED MINOR INJURIES ON FACE & WAS EVAC TO 92 BH BY RD. CONDITION STABLE.
(C) ONE CIV LADY NEAR THE INCIDENT SITE SUSTAINED MINOR INJ. CONDITION STABLE.
",ARMY ,UI,0,0,0,0,0,0,1,0,0,0,0,1,NIL ,NIL,,,
64,12-Jul-20,4:45 PM,TII ,NO ,42 RR ,1 SECT ,CIF (V),CHARSOO ,PULWAMA,GREN LOBBED ,SUSPECTS MOV ON A BIKE LOBBED TWO GREN ON A CAPF PICKET W/O REMOVING THE PIN. GRENS DIDN’T EXPLODE. NO INJ REPORTED. SEARCH IN PROG. MVCPS BEING EST. ,CRPF & ITBP,UI ,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,,,
65,22-Jul-20,9:00 PM,TII,NO,19 RR ,2 SECT,CIF (V),PHURRAH ,ANANTNAG,FIRING ,"ABDUL RASHID DAR, S/O GULAM HUSAN DAR, R/O PHURRAH WAS SHOT DEAD BY THREE UI TRTS BY FIRING AK SERIES WPN. INDL (AN EX-IKHWANI) WAS EMP WITH INDIAN RES POLICE (IRP) JAMMU AND WAS CURRENTLY ON LVE AT HIS HOME.   ",JKP,UI,0,0,0,0,1,0,0,0,0,0,0,0,NIL ,NIL,,,
66,26-Jul-20,10:00 AM,TII ,NO ,62 RR,12 SECT ,CIF (V),"BON BAZAR, SHUPIYAN ",SHOPIYAN,FIRING ,"TWO UI TRTS ON MOTORCYCLE FIRED AT PICQUET OF 14 BN CRPF NEAR BON BAZAR, SHUPIYAN. APPROX 20 RDS OF AK-47 WERE FIRED BY TRTS.NO INJURIES REPORTED.",CRPF ,2,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL ,,,
67,30-Jul-20,13:35 PM,TII ,NO,44 RR,12 SECT ,CIF (V),"DRABGAM,SHUPIYAN DIST",SHOPIYAN,UBGL FIRE & FIRING,"UI TRTS FIRED UBGL AND 20-25 AK RDS FROM A DIST OF APPROX 60-70 M ON THE MPV CASSIPER BASED ADP.  NO 3016618L SEP JITENDRA OF 44 RR (PU - 22 RAJPUT), AGE - 25, SERVICE - 07 YRS, DIAG - MULTIPLE SPLINTER INJURY LEFT ARM. INDL EVAC TO 92 BH BY RD. CONDITION STABLE.",ARMY ,UI,0,0,0,0,0,0,1,0,0,0,0,0,NIL ,NIL,,,
68,02-Aug-20,5:00 PM,TII,NO,162 INF BN (TA) (H & H),2 SECT,CIF (V),"RISHIPURA,KULGAM DIST",KULGAM,ABDUCTED,"NO 12975024W RFN SHAKIR MANZOOR WAGHEY, S/O MANZOOR AH WAGHEY, AGE - 26 YRS, SERVICE - 04 YRS, R/O RISHIPURA OF 162 INF BN (TA) (H&H) SUSPECTED TO BE ABDUCTED BY THREE UI TRTS AS ALLEGED BY THE FATHER OF THE INDL  AFTER HE HAD LEFT FROM HIS HOME AT 021700 IN HIS PVT VEH (VITARA BREEZA JK - 22B 3968). HIS VEH WAS FOUND IN BURNT CONDITION AT RAMBHAMA, 1 SE NOHAMA COB OF 34 RR ",ARMY ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,,,
69,04-Aug-20,8:30 PM,TII,NO,50 RR ,1 SECT,CIF (V),"WANPUR CHOWK,",PULWAMA,GREN HURLED,01-02 UI TRTS HURLED A GREN ON SOG PICQUET AT WANPUR CHOWK.02 X CONST SUSTAINED MINOR INJURY. THEY WERWE EVAC TO PHC KAKAPORE.CONDITION STABLE,JKP ,UI,0,0,0,0,0,0,0,2,0,0,0,0,NIL ,NIL, NIL,,
70,04-Aug-20,9:15 PM,TCA ,NO,9 RR,2 SECT,CIF (V),"AHKHRAN , ",KULGAM,UI TRTS ATTK,"UI TRTS ATTK BJP PANCH ARIF AHMAD SHAH, S/O MUSTAQ AHMAD SHAH, R/O AKHRAN. INDL WAS INJ IN NECK & CHEST AND WAS EVAC TO ANANTNAG HOSP & FURTHER SHIFTED TO SRINAGAR. CONDITION STABLE",CIV ,UI,0,0,0,0,0,0,0,0,0,0,0,1,NIL ,NIL,NIL,,
71,05-Aug-20,11:35 AM,TII,NO,62 RR,12 SECT ,CIF (V),"SANGLU BR ,",SHOPIYAN,LOBBED HAND GREN,UI TRTS LOBBED HAND GREN FOLLOWED BY FIRING ON POST OF 14 BN CRPF. NO INJURIES REPORTED. SEARCH OF AREA IN PROG,CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
72,05-Aug-20,6:30 PM,TII,NO,62 RR,12 SECT ,CIF (V),"SANGLU BR ,",SHOPIYAN,FIRING ,UI TRTS FIRED ON JT PICQUET OF JKP & CRPF. NO INJURIES REPORTED,JKP & CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
73,06-Aug-20,9:30 AM,TCA ,NO,9 RR,2 SECT,CIF (V),WISSU,KULGAM,FIRING ,"02-03 UI TRTS ON MOTORCYCLE SHOT DEAD BJP SARPANCH SAJAD AHMAD KHANDEY, S/O ALI MOHD, R/O WISSU OUTSIDE HIS RESIDENCE",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,CIV CAS-01(F),,
74,09-Aug-20,6:00 AM,TCA ,NO,53 RR,12 SECT ,CIF (V),MOHANPURA,BUDGAM,FIRING ,"UI TRTS FIRED UPON BJP POLITICIAN ABDUL HAMID NAJAR, S/O LATE MOHD JAMMAL NAJAR, R/O MOHANPURA (OMPURA), BUDGAM, AGE - 35 YRS INDL WAS SHOT BY PISTOL WHILE HE WAS ON A MORNING WALK AND SUFFERED 03 X GSW ON LT SIDE OF ABDOMEN AND RT LEG. INDL SHIFTED TO SMHS, SRINAGAR. CONDITION STABLE",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,,NIL ,NIIL,NIL,,
75,10-Aug-20,-,TCA ,NO,42 RR,1 SECT,CIF (V),DIWAR,PULWAMA,GREN HURLED,"A GREN WAS HURLED ON HOUSE OF PAPINDER SINGH, R/O DIWAR (PANCH-PDP). INDL ALONGWITH FAMILY HAD ALREADY SHIFTED TO SRINAGAR BEFORE THE INCIDENT. NO INJURIES REPORTED",CIV ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
76,12-Aug-20,2:15 PM,TII,NO,52 RR ,10 SECT ,CIF (K),TRAMBAGUND,BARAMULLA,FIRING ,"(I) QRT OF 15 GARH RIF/ 79 MTN BDE/ 19 INF DIV (03 X HARDENED GYPSY) MOVING FROM BARAMULLA TO GULMARG WAS FIRED UPON BY UI TRTS AT TRAMBAGUND FROM NEARBY ORCHARDS. THE QRT IN RETALIATION FIRED 15 RDS
(II) ONE INDL OF 15 GARH RIF, NO 13626347F NK ROSHAN SINGH IN LAST GYPSY OF QRT SUSTAINED GSW ON LT THIGH, INDL EVAC TO 92 BH. SEARCH OPS LAUNCHED BY 52 RR & 29 RR IN GEN A & IN PROG.",ARMY ,UI,0,0,0,0,0,0,1,0,0,0,0,0,NIL ,NIL,NIL,,AZAD AH DAR
77,14-Aug-20,8:50 AM,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,NAUGAM JN,SRINAGAR ,FIRING ,"02 UI TRTS FIRED FROM AK SERIES WPN (FROM DIST OF 15-20 FT) UPON PICQUET OF 20 BN, IRP AT GULSHAN CHOWK NAUGAM, SRINAGAR.  DURING THE INCIDENT 02 X POLICE PERS WERE FATAL AND 01 X POLICE PERS NON-FATAL",JKP,UI,0,0,0,0,2,0,0,0,0,0,1,0,NIL ,NIL,NIL,,
78,15-Aug-20,9:35 PM,TCA ,NO,55 RR ,12 SECT ,CIF (V),KANGAN,PULWAMA,FIRING ,"UI TRTS FIRED 05-06 RDS ON AZAD AH DAR, S/O LATE MOHD AKBAR DAR, R/O KANGAN WHILE HE WAS IN HIS HOUSE. INDL EVAC TO DIST HOSP PULWAMA AND DECLARED BROUGHT DEAD.",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NL,NIL,NIL,,
79,17-Aug-20,9:15 AM,TII,NO,29 RR,10 SECT ,CIF (K),"NAWAN MOD,KREERI",BARAMULLA,FOOT FIRED ,"THREE UI TRT (LIKELY LET) ON FOOT FIRED UPON PICQUET OF F COY, 119 BN CRPF AT NAWAN MOD, KREERI RESULTING IN 02 X PERS OF CRPF & ONE SPO OF JKP SUSTAINING FATAL CAS",CRPF,UI,0,1,2,0,0,0,0,0,0,0,0,0,NIL ,NIL,"ONE INSAS RIF WAS SNATCHED BY TRTS FROM THE TII SITE. HOWEVER, THE SAME WAS REC IMDLTY THEREAFTER AT A SOME DIST AWAY FROM TII SITE",,
80,17-Aug-20,8:30 PM,TII,NO,34 RR ,2 SECT,CIF (V),NOHAMA,KULGAM,FIRING ,02-03 UI TRTS FIRED 5-6 RDS OF AK-47 ON POST OF A COY 18 CRPF BN AT NOHAMA. ASI SUKUMAR ON GUARD DUTY SUSTAINED GSW IN HIS LEFT LEG. CONDITION STABLE,CRPF,UI,0,0,0,0,0,0,0,0,1,0,0,0,NIL ,NL,01 X NF(CRPF),,
81,28-Aug-20,11:30 AM,TCA ,NO,34 RR,2 SECT,CIF (V),RATNIPORA,SHOPIYAN,,"DEAD BODY OF BJP PANCH NISAR AH BHAT,S/O AB AH BHAT,R/O KHUNMOH,AGE-45 YRS FOUND IN AN ORCHARD AT RATNIPORA. INDL WAS MISSING SINCE 19 AUG 20",CIV,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,01 X F (CIV),,NISAR AHMED BHAT
82,29-Aug-20,9:55 PM,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,"CITY GATE ,
PANTHA CHOWK",SRINAGAR ,FIRING ,"THREE UI TRTS ON SCOOTY (REGD NO JK-13 E 5471) FIRED UPON PICQUET OF G COY, 61 CRPF BN AT CITY GATE, PANTHA CHOWK. NO INJURIES REPORTED",CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
83,31-Aug-20,6:30 PM,TII,NO,22 RR ,5 SECT ,CIF (K),BUS STAND SOPORE,BARAMULLA,LOBBED HAND GREN,"ONE UI TRT LOBBED A HAND GREN AT JKP POST AT BUS STAND, SOPORE IN WHICH ONE CAR REGD NO DL - 1 CR 5137 (COLOUR SILVER GREY, RENAULT DUSTER) WAS DAMAGED (GLASS BROKEN). OWNER OF THE CAR IS ISHFAQ AH LONE, SPO (JKP), S/O ABDUL GANI LONE, R/O SHALKOT, RAFIABAD. NO INJURIES REPORTED.",JKP,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
84,08-Sep-20,8:45 PM,TII,NO,42 RR,1 SECT,CIF (V),NAUDAL,PULWAMA,HURLED GREN ,UI TRTS HURLED A GREN ON 180 BN CRPF CAMP AT NAUDAL. GREN EXPLODED OUTSIDE THE CAMP. NO INJURIES REPORTED.,CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
85,19-Sep-20,11:00 AM,TCA ,NO,42 RR,1 SECT,CIF (V),DADASUR CHOWK,PULWAMA,UI TRTS ATTK,UI TRTS SNATCHED A 12 BORE RIF FROM J&K BANK GD SHAUKAT AH HAJAM BY INJURING HIM WITH AXE. INDL TREATED AT GOVT HOSPITAL & LATER DISCHARGED,CIV ,UI,0,0,0,0,0,0,0,0,0,0,0,1,NIL ,NIL,NIL,SHAUKAT AH HAJAM,
86,21-Sep-20,10:30 AM,TII,NO,50 RR ,1 SECT,CIF (V),LASJAN,PULWAMA,FIRING ,"01-02 UI TRTS FIRED ON A STATIC BUNKER OF 110 BN CRPF LOC AT GEN A LASJAN, APPROX 800 MTR FROM IRON BR ON NH-44. 
AT THE SAME TIME OWN VEHS OF SRINAGAR-BANIHAL CVY WERE ALSO PASSING THROUGH IN THE NEAR VICINITY OF THE INCIDENT SITE. NO INJURIES REPORTED TO OWN TPS",CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
87,21-Sep-20,7:40 PM,TII,NO,1 RR ,1 SECT,CIF (V),HASSANPURA,ANANTNAG,FIRING ,02-03 UI TRTS FIRED ONE UBGL GREN ON 90 BN CRPF CAMP AT HASSANPURA. NO INJURIES REPORTED.,CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
88,23-Sep-20,12:05 PM,TII,NO,55 RR ,12 SECT ,CIF (V),PULWAMA TOWN,PULWAMA,HURLED GREN ,"UI TRTS HURLED A HAND GREN ON CRPF CHECK POST AT FIRE SERVICE STN, PULWAMA. NO INJURIES REPORTED. FURTHER DETLS ARE BEING ASCERTAINED",CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,BHUPINDER SINGH
89,24-Sep-20,8:25 AM,TII,NO,50 RR ,1 SECT,CIF (V),WADIPUR ORCHARDS,PULWAMA,FIRING ,"TWO UI TRTS FIRED UPON 117 BN CRPF PICQUET DPLY FOR AIRPORT FUNNEL SECURITY
TRTS SNATCHED SERVICE RIF OF THE INJURED ASI & FLED ON A MOTORCYCLE. DETLS OF THE SNATCHED WPN",CRPF,UI,0,0,1,0,0,0,0,0,0,0,0,0,NIL ,NIL,"WPN SNATCHED
AK-47 RIF-01-01-30",,
90,23-Sep-20,7:45 PM,TCA ,NO,53 RR,12 SECT ,CIF (V),DALWACHH,BUDGAM,FIRING ,"UI TRTS FIRED UPON BHUPINDER SINGH, BLOCK DEVP COUNCILOR (BDC) OF KHAG (3 S DALWACHH), ASSOCIATED WITH PDP, R/O DALWACHH, BUDGAM. INDL WAS DECLARED BROUGHT DEAD AT DIST HOSP, BUDGAM. ",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,
91,25-Sep-20,6:40 AM,TII,NO,44 RR,12 SECT ,CIF (V),"DC OFFICE,SHOPIAN",SHOPIAN,FIRING ,UI TRTS FIRED 05-06 RDS OF AK-47 ON ON 14 BN CRPF SENTRY POST NEAR MINI SECTT (DC OFFICE SHOPIAN). TRTS FLED IN A CAR. NO INJURIES REPORTED.,CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL`,,
92,24-Sep-20,6:30 PM,TCA ,NO,31 SA ,31 SA,HQ 15 CORPS ,LAL BAZAR ,SRINAGAR ,FIRING ,"UI TRTS FIRED AT ADVOCATE BABAR QADRI, S/O MD YASEEN QADRI, AGE-35 YRS, R/O HAWAL, LAL BAZAR, SRINAGAR AT HIS HOME. HE GOT CRITICALLY INJURED. INDL WAS SHIFTED TO SKIMS, SOURA HOSP WHERE DOCTORS DECLARED HIM BROUGHT DEAD. ",CIV,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,BABAR QADRI
93,26-Sep-20,7:30 PM,TII,NO,1 RR ,1 SECT,CIF (V),YARIPURA,KULGAM,UBGL GRN FIRING,UI TRTS FIRED UBGL GREN AT PS YARIPURA. NO INJURIES REPORTED,JKP,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
94,26-Sep-20,7:50 PM,TII,NO,34 RR,2 SECT,CIF (V),BEHIBAGH,KULGAM,FIRING ,UI TRTS FIRED SIX PISTOL RDS ON PS BEHIBAGH. NO INJURIES REPORTED,JKP,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
95,28-Sep-20,6:45 PM,TCA ,NO,34 RR,2 SECT,CIF (V),NILADORA,SHOPIAN,FIRING ,"SUBZAR AH NAIKOO, S/O AB RASHID NAIKOO, R/O NILADORA, AGE - 45 YRS, OCCU - EMPLOYEE (RURAL DEVP DEPT) WAS SHOT BY UI TRTS. INDL SUCCUMBED TO HIS INJURIES AT SHOPIAN HOSPITAL.",CIV,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,01 X F (CIV),SUBZAR AH NAIKOO,
96,29-Sep-20,12:00 PM,TII,NO,3 RR,1 SECT,CIF (V),MARHAMA CHOWK,ANANTNAG,FIRING ,UI TRTS FIRED AT ADP OF 3 RR. NO INJURIES REPORTED,ARMY ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
97,02-Oct-20,7:40 PM,TII,NO,42 RR,1 SECT,CIF (V),LURAGAM,PULWAMA,FIRING ,"UI TRTS FIRED ONE RD ON SENTRY POST AT LURAGAM COB FROM THE DIRN OF PANZU (E OF LURAGAM). OWN TPS RETALIATED & SEARCH OF THE AREA CARRIED OUT. 
NO INJURIES/ LOSS REPORTED",ARMY ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
98,05-Oct-20,12:50 AM,TII,NO,50 RR ,1 SECT,CIF (V),KANDIZAL,PULWAMA,FIRING ,UI TRTS FIRED AT PICQUET OF 110 BN CRPF NEAR KANDIZAL BR ON NH-44,CRPF,UI,0,0,2,0,0,0,0,0,3,0,0,0,NIL ,NIL,NIL,,
99,05-Oct-20,2:50 PM,TII,NO,42 RR,1 SECT,CIF (V),PIRAD NAR,PULWAMA,FIRING ,UI TRTS FIRED ON JKP (SOG) PERS NEAR PIRAD NAR. TWO SOG PER WERE INITIALLY SENT BY SP AWANTIPURA TO A SUSPECTED LOC. FIRE FIGHT ENSUED. CAT OF 42 RR LINKED UP WITH SOG PERS. SEARCH OF THE AREA CARRIED OUT THEREAFTER. ,JKP,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NO INJURIES REPORTED.,,
100,06-Oct-20,8:30 PM,TCA ,NO,24 RR,3 SECT,CIF (V),NUNAR,GANDERBAL,FIRING ,"(A)  03 TRTS FIRED ON MR GHULAM QADIR (BJP ACTIVIST), R/O NUNAR. HIS PSO CT ALTAF HUSSAIN OF JKP RECEIVED GSW ON HEAD AND WAS LATER DECLARED DEAD AT SKIMS.
(B) ONE TRT ELIMINATED IN EXCH OF FIRE WITH PSO.  DETAILS OF THE TRT ARE AS GIVEN BELOW:-
SHABIR AH SHAH, S/O ABDUL GANI SHAH, R/O JANGALNAR, PULWAMA, LT, HM, DT  OF RECT - 28 JUL 20
",CIV,UI ,0,1,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,ONE TRT ELIMINATED IN EXCH OF FIRE WITH PSO.,,"MR GHULAM QADIR, SHABIR AH SHAH"
101,15-Oct-20,6:45 PM,TCA ,NO,50 RR ,1 SECT,CIF (V),KAKAPORE CHOWK,PULWAMA,FIRING ,"UI TRTS FIRED ON TANVEER AHMAD SOFI, S/O GHULAM AHMAD SOFI, R/O KAKAPORE, AGE - 27 YRS, OCCU - GOVT EMP; NEAR J&K BANK, KAKAPORE CHOWK. INDL EVAC TO SMHS, SRINAGAR. INDL IS A KNOWN SURRENDERED LET TRT (2016).",CIV,UI,0,0,0,0,0,1,0,0,0,0,0,,NIL ,NIL,NIL,,
102,18-Oct-20,11:40 AM,TII,NO,42 RR,1 SECT,CIF (V),TRAL CHOWK,PULWAMA,HURLED GREN , trts hurled a hand gren on 139 Bn CRPF picquet at Tral Main Chowk. ASI Asim Ali ex 139 Bn CRPF recd minor  splinter injury,CRPF,UI,0,0,0,0,0,0,0,0,1,0,0,0,NIL ,NIL,NIL,,
103,19-Oct-20,10:15 AM,TII,NO,55 RR ,12 SECT ,CIF (V),GANGU ,PULWAMA,FIRING ,"UI TRTS FIRED ON JT PICQUET OF 182 BN CRPF & JKP AT GANGU. HEAD CONSTABLE BHUPINDER OF 182 BN CRPF SUSTAINED GSW ON RT THIGH & RT ARM.  INDL EVAC TO DIST HOSP, PULWAMA AND THEREAFTER TO 92 BH SRINAGAR.",CRPF & JKP,UI,0,0,0,0,0,0,0,0,1,0,0,0,NIL ,NIL,NIL,,
104,19-Oct-20,6:15 PM,TII,NO,3 RR,1 SECT,CIF (V),SUNDHPURA,ANANTNAG,FIRING ,"UI TRTS FIRED ON INSPECTOR MD ASHRAF BHATT OF JKP, S/O MD RAHMAN BHATT, R/O SUNDHPURA, AGE - 45 YRS WHILE HE WAS RETURNING FROM MASJID AFTER OFFERING EVE NAMAZ. INDL EVAC TO GOVT HOSP BIJBEHARA. DECLARED BROUGHT DEAD. ",JKP,UI,0,1,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
105,21-Oct-20,7:00 PM,TII,NO,3 RR,1 SECT,CIF (V),SANGAAM,ANANTNAG,LOBBED GREN,UI TRTS LOBBED GREN AT PICQUET EX    C COY OF 89 BN CRPF LOC AT SANGAM. NO  INJURIES REPORTED,CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
106,22-Oct-20,-,TII,NO,31 SA ,31 SA,HQ 15 CORPS ,"HAFIZ BAGH,SOURA",SRINAGAR ,HURLED A PETROL BOMB ,"UI TRTS HURLED A PETROL BOMB ON              82 BN CRPF CAMP SITUATED AT HAFIZ BAGH (ILLAHIBAGH), SRINAGAR. NO  INJURIES REPORTED.",CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NIL,,
107,29-Oct-20,8:30 PM,TCA ,"(i) 7.62mm Amn - 06
(ii) 9mm fired case-02",9 RR,2 SECT,CIF (V),YK PURA ,KULGAM,FIRING ,02-03 UI trts fired on BJP affiliates near YK Pura. Three civs received GSW & succumbed to their injuries. ,CIV,UI,0,0,0,0,0,3,0,0,0,0,0,0,NIL,NIL,-,,
108,30-Oct-20,6:55 PM,TII,NO,53 RR,12 SECT ,CIF (V),NAMTHAL,BUDGAM,LOBBED GREN,UI TRTS LOBBED GREN AT THE MAIN ENTRANCE GATE OF D COY 43 BN CRPF. GREN EXPLODED OUTSIDE THE CAMP,CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NO INJURIES REPORTED.,,
109,05-Nov-20,7:45 PM,TCA ,NO,42 RR,1 SECT,CIF (V),TRAL,PULWAMA,FIRING ,"UI TRTS FIRED ON MD AYOUB AHANGER, S/O GH AH AHANGER, R/O TRAL-E-PAYEEN, AGE - 42 YRS, OCCU - GOLDSMITH. INDL SUSTAINED INJURY ON CHEST. EVAC TO SDH TRAL AND DECLARED DEAD. EIGHT EMPTY CART CASES OF 9 MM PISTOL REC FROM INCIDENT SITE.",CIV,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL,NIL,NIL,,MD AYOUB AHANGER
110,05-Nov-20,7:50 PM,TCA ,NO,50,1 SECT,CIF (V),Wanpur,PULWAMA,FIRING ,"UI TRTS FIRED ON MD ASLAM WANI, R/O WANPUR, AGE - 30 YRS, OCCU - TATA SUMO DVR. INDL EVAC TO SMHS HOSP, SRINAGAR. ",CIV,UI,0,0,0,0,0,0,0,0,0,0,0,1,NIL,NIL,NIL,,
111,07-Nov-20,7:20 PM,TII,NO,1 RR ,1 SECT,CIF (V),ANANTNAG,ANANTNAG,LOBBED GREN,"UI TRTS HURLED GREN ON POLICE POST, BUS STAND ANANTNAG. NO INJURIES REPORTED",JKP,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NO INJURIES REPORTED.,,
112,12-Nov-20,-,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,KHANIYAR,SRINAGAR ,LOBBED GREN,"UI TRTS LOBBED A GREN UPON BUNKER OF E COY 144 BN CRPF AT BABA DAWOD KHAKI BRIDGE, KHANIYAR, SRINAGAR, WHICH DID NOT EXPLODE. NO INJURIES REPORTED",CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NO INJURIES REPORTED.,,
113,16-Nov-20,6:45 PM,TII,NO,1 RR ,1 SECT,CIF (V),PRISAL ,KULGAM,HURLED GREN ,UI TRTS HURLED A GREN ON PS PRISAL. NO INJURIES REPORTED.,JKP,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NO INJURIES REPORTED.,,
114,16-Nov-20,7:40 PM,TII,NO,44 RR,12 SECT ,CIF (V),SHOPIYAN,SHOPIAN,HURLED GREN ,UI TRTS HURLED A GREN ON PS SHOPIAN. GREN DID NOT EXPLODE. NO INJURIES REPORTED,JKP,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NO INJURIES REPORTED.,,
115,18-Nov-20,5:45 PM,TII,NO,50 RR ,1 SECT,CIF (V),KAKAPORE CHOWK,PULWAMA,LOBBED GREN,UI TRTS LOBBED A GREN ON CRPF PICQUET AT KAKAPORE CHOWK WHICH MISSED THE TARGET AND EXPLODED ON RD SIDE.            ,CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,12,NIL,NIL,"12 CIVS GOT INJURED DUE TO BLAST. EIGHT CIVS DISCHARGED FROM HOSPITAL AFTER FIRST AID. FOUR CIVS REFERRED TO SMHS HOSPITAL, SRINAGAR.",,
116,26-Nov-20,1:40 PM,TII,NO,2 RR ,10 SECT ,CIF (K),KHUSHIPURA CHOWK,BUDGAM,FIRING ,"TWO- THREE UI TRTS, TRAVELLING IN A  WHITE MARUTI 800 CAR BEARING NO JK 04 A 6535, FIRED UPON ARMY PIQUET AT KHUSHIPURA CHOWK, P/S PARIMPORA",ARMY ,UI,2,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,One AK -  56 also missing from the incidence site. Search Op launched by 2 RR. Further detls being ascertained.,,
117,01-Dec-20,7:00 PM,TCA ,NO,31 SA ,31 SA ,HQ 15 CORPS ,"BUCHPORA, SRINAGAR",SRINAGAR ,FIRING ,"UI TRTS FIRED AT NADIF KHAN, S/O MOHD HANIEF KHAN, R/O BILAL COLONY SOURA IN BUCHPORA, SRINAGAR. INDL SHIFTED TO SKIMS",CIV,UI,0,0,0,0,0,0,0,0,0,0,0,1,NIL,NIL,INDL SHIFTED TO SKIMS. CONDITION CRITICAL. ,,
118,04-Dec-20,12:00 PM,TCA ,NO,19 RR,2 SECT,CIF (V),SAGAM,ANANTNAG,FIRING ,"UI TRTS FIRED UPON ANEES UL ISLAM, S/O LATE FARID AH GANIE, R/O SAGAM, AGE - 33 YRS, DDC INDEPENDENT CANDIDATE (AFFILIATED WITH APNI PARTY). TWO GSW ON LEG AND ARM. EVAC TO SDH, KOKERNAG & LATER TO SRINAGAR. ",CIV,UI,0,0,0,0,0,0,0,0,0,0,0,1,NIL,NIL,CONDITION CRITICAL. ,,
